Name,Stat,Line
Nassir Little,Pts+Rebs+Asts,21.5
Drew Eubanks,Pts+Rebs+Asts,19.5
Kevin Huerter,Pts+Rebs+Asts,21.5
Stephen Curry,Pts+Rebs+Asts,41.5
Klay Thompson,Pts+Rebs+Asts,28.0
Draymond Green,Pts+Rebs+Asts,23.5
Jordan Poole,Pts+Rebs+Asts,27.5
Devin Booker,Pts+Rebs+Asts,36.5
Kevin Durant,Pts+Rebs+Asts,33.0
Chris Paul,Pts+Rebs+Asts,25.5
Deandre Ayton,Pts+Rebs+Asts,24.5
Nikola Vucevic,Fantasy Score,39.5
Zach LaVine,Fantasy Score,38.5
DeMar DeRozan,Fantasy Score,38.5
Pascal Siakam,Fantasy Score,38.5
Joel Embiid,Fantasy Score,55.5
Fred VanVleet,Fantasy Score,38.5
James Harden,Fantasy Score,45.5
Scottie Barnes,Fantasy Score,30.5
OG Anunoby,Fantasy Score,26.5
Jakob Poeltl,Fantasy Score,27.5
Paolo Banchero,Fantasy Score,35.5
Wendell Carter Jr.,Fantasy Score,31.0
Franz Wagner,Fantasy Score,29.5
Markelle Fultz,Fantasy Score,31.0
Talen Horton-Tucker,Fantasy Score,30.5
Ochai Agbaji,Fantasy Score,20.5
Walker Kessler,Fantasy Score,33.5
Kris Dunn,Fantasy Score,26.5
Donovan Mitchell,Fantasy Score,43.5
Jalen Brunson,Fantasy Score,39.5
Darius Garland,Fantasy Score,37.5
RJ Barrett,Fantasy Score,29.5
Evan Mobley,Fantasy Score,36.5
Quentin Grimes,Fantasy Score,21.5
Caris LeVert,Fantasy Score,27.5
Trae Young,Fantasy Score,43.5
LeBron James,Fantasy Score,44.5
Mikal Bridges,Fantasy Score,38.5
Anthony Davis,Fantasy Score,48.5
Anthony Edwards,Fantasy Score,41.5
Dejounte Murray,Fantasy Score,36.5
D'Angelo Russell,Fantasy Score,29.5
Spencer Dinwiddie,Fantasy Score,38.5
Clint Capela,Fantasy Score,29.5
Nicolas Claxton,Fantasy Score,35.5
Mike Conley,Fantasy Score,26.5
Austin Reaves,Fantasy Score,25.5
Cameron Johnson,Fantasy Score,28.5
Rudy Gobert,Fantasy Score,34.5
John Collins,Fantasy Score,23.5
Jalen Green,Fantasy Score,33.5
Jaden Ivey,Fantasy Score,34.0
Kevin Porter Jr.,Fantasy Score,37.5
Marvin Bagley III,Fantasy Score,27.5
Alperen Sengun,Fantasy Score,34.0
James Wiseman,Fantasy Score,25.5
Jabari Smith Jr.,Fantasy Score,29.0
Killian Hayes,Fantasy Score,30.5
Ja Morant,Fantasy Score,47.5
Kawhi Leonard,Fantasy Score,44.5
Desmond Bane,Fantasy Score,34.5
Jaren Jackson Jr.,Fantasy Score,35.5
Xavier Tillman,Fantasy Score,24.5
De'Aaron Fox,Fantasy Score,39.5
Shaedon Sharpe,Fantasy Score,35.5
Domantas Sabonis,Fantasy Score,41.5
Nassir Little,Fantasy Score,25.5
Harrison Barnes,Fantasy Score,23.5
Drew Eubanks,Fantasy Score,24.5
Kevin Huerter,Fantasy Score,25.5
Keegan Murray,Fantasy Score,22.5
Stephen Curry,Fantasy Score,46.5
Klay Thompson,Fantasy Score,31.5
Draymond Green,Fantasy Score,30.5
Jordan Poole,Fantasy Score,31.5
Devin Booker,Fantasy Score,41.5
Kevin Durant,Fantasy Score,39.0
Chris Paul,Fantasy Score,35.5
Deandre Ayton,Fantasy Score,28.5
Nikola Vucevic,3-PT Made,1.5
Zach LaVine,3-PT Made,2.5
James Harden,3-PT Made,2.5
Franz Wagner,3-PT Made,1.5
Talen Horton-Tucker,3-PT Made,1.5
Kris Dunn,3-PT Made,0.5
RJ Barrett,3-PT Made,1.5
Quentin Grimes,3-PT Made,2.5
Lamar Stevens,3-PT Made,0.5
Mikal Bridges,3-PT Made,2.5
Anthony Edwards,3-PT Made,2.5
D'Angelo Russell,3-PT Made,2.5
Cameron Johnson,3-PT Made,2.5
Marvin Bagley III,3-PT Made,0.5
Ja Morant,3-PT Made,1.5
De'Aaron Fox,3-PT Made,1.5
Kevin Huerter,3-PT Made,2.5
Donte DiVincenzo,3-PT Made,1.5
Joel Embiid,Pts+Rebs,44.0
Pascal Siakam,Pts+Rebs,29.5
James Harden,Pts+Rebs,26.5
Fred VanVleet,Pts+Rebs,22.5
Scottie Barnes,Pts+Rebs,21.5
OG Anunoby,Pts+Rebs,19.5
Jakob Poeltl,Pts+Rebs,20.5
Paolo Banchero,Pts+Rebs,27.5
Wendell Carter Jr.,Pts+Rebs,25.5
Franz Wagner,Pts+Rebs,22.5
Markelle Fultz,Pts+Rebs,18.5
Cole Anthony,Pts+Rebs,18.5
Jalen Suggs,Pts+Rebs,12.5
Talen Horton-Tucker,Pts+Rebs,23.5
Ochai Agbaji,Pts+Rebs,15.5
Walker Kessler,Pts+Rebs,23.0
Kris Dunn,Pts+Rebs,16.5
Donovan Mitchell,Pts+Rebs,33.5
Jalen Brunson,Pts+Rebs,28.5
Darius Garland,Pts+Rebs,25.5
RJ Barrett,Pts+Rebs,25.5
Evan Mobley,Pts+Rebs,26.5
Quentin Grimes,Pts+Rebs,15.5
Caris LeVert,Pts+Rebs,17.5
Lamar Stevens,Pts+Rebs,14.5
Royce O'Neale,Pts+Rebs,12.5
Trae Young,Pts+Rebs,29.5
LeBron James,Pts+Rebs,34.5
Mikal Bridges,Pts+Rebs,31.5
Anthony Davis,Pts+Rebs,37.5
Anthony Edwards,Pts+Rebs,31.5
Dejounte Murray,Pts+Rebs,25.5
D'Angelo Russell,Pts+Rebs,20.5
Spencer Dinwiddie,Pts+Rebs,23.5
Nicolas Claxton,Pts+Rebs,22.5
Mike Conley,Pts+Rebs,15.5
Austin Reaves,Pts+Rebs,18.0
Cameron Johnson,Pts+Rebs,21.5
Rudy Gobert,Pts+Rebs,25.5
John Collins,Pts+Rebs,17.5
Dorian Finney-Smith,Pts+Rebs,11.5
Jalen Green,Pts+Rebs,26.5
Jaden Ivey,Pts+Rebs,23.5
Kevin Porter Jr.,Pts+Rebs,24.5
Marvin Bagley III,Pts+Rebs,21.5
Alperen Sengun,Pts+Rebs,24.5
James Wiseman,Pts+Rebs,22.5
Jabari Smith Jr.,Pts+Rebs,22.5
Killian Hayes,Pts+Rebs,16.5
Ja Morant,Pts+Rebs,33.5
Kawhi Leonard,Pts+Rebs,32.5
Desmond Bane,Pts+Rebs,25.5
Jaren Jackson Jr.,Pts+Rebs,24.5
Dillon Brooks,Pts+Rebs,15.0
Xavier Tillman,Pts+Rebs,16.5
De'Aaron Fox,Pts+Rebs,26.5
Domantas Sabonis,Pts+Rebs,29.5
Shaedon Sharpe,Pts+Rebs,27.5
Harrison Barnes,Pts+Rebs,17.5
Nassir Little,Pts+Rebs,19.5
Drew Eubanks,Pts+Rebs,16.5
Kevin Huerter,Pts+Rebs,18.5
Keegan Murray,Pts+Rebs,16.5
Stephen Curry,Pts+Rebs,34.5
Klay Thompson,Pts+Rebs,25.5
Draymond Green,Pts+Rebs,16.5
Donte DiVincenzo,Pts+Rebs,11.5
Jordan Poole,Pts+Rebs,23.5
Devin Booker,Pts+Rebs,31.5
Kevin Durant,Pts+Rebs,28.5
Chris Paul,Pts+Rebs,16.5
Deandre Ayton,Pts+Rebs,23.5
Joel Embiid,Pts+Asts,37.5
Pascal Siakam,Pts+Asts,26.5
James Harden,Pts+Asts,30.5
Fred VanVleet,Pts+Asts,26.5
Scottie Barnes,Pts+Asts,19.5
OG Anunoby,Pts+Asts,16.5
Jakob Poeltl,Pts+Asts,14.5
Paolo Banchero,Pts+Asts,24.5
Wendell Carter Jr.,Pts+Asts,17.5
Franz Wagner,Pts+Asts,21.5
Markelle Fultz,Pts+Asts,20.5
Cole Anthony,Pts+Asts,17.5
Jalen Suggs,Pts+Asts,11.5
Talen Horton-Tucker,Pts+Asts,23.5
Ochai Agbaji,Pts+Asts,13.5
Walker Kessler,Pts+Asts,13.5
Kris Dunn,Pts+Asts,17.5
Donovan Mitchell,Pts+Asts,32.5
Jalen Brunson,Pts+Asts,31.5
Darius Garland,Pts+Asts,30.5
RJ Barrett,Pts+Asts,22.5
Evan Mobley,Pts+Asts,20.5
Quentin Grimes,Pts+Asts,14.5
Caris LeVert,Pts+Asts,17.5
Royce O'Neale,Pts+Asts,10.5
Trae Young,Pts+Asts,35.5
LeBron James,Pts+Asts,31.5
Mikal Bridges,Pts+Asts,30.5
Anthony Davis,Pts+Asts,28.5
Anthony Edwards,Pts+Asts,30.5
Dejounte Murray,Pts+Asts,25.5
D'Angelo Russell,Pts+Asts,22.5
Spencer Dinwiddie,Pts+Asts,28.5
Clint Capela,Pts+Asts,12.5
Nicolas Claxton,Pts+Asts,14.5
Mike Conley,Pts+Asts,18.5
Austin Reaves,Pts+Asts,18.5
Cameron Johnson,Pts+Asts,18.5
Rudy Gobert,Pts+Asts,15.5
John Collins,Pts+Asts,12.5
Jalen Green,Pts+Asts,27.5
Jaden Ivey,Pts+Asts,26.5
Kevin Porter Jr.,Pts+Asts,25.5
Marvin Bagley III,Pts+Asts,15.5
Alperen Sengun,Pts+Asts,18.5
James Wiseman,Pts+Asts,14.5
Jabari Smith Jr.,Pts+Asts,16.5
Killian Hayes,Pts+Asts,20.5
Ja Morant,Pts+Asts,35.5
Kawhi Leonard,Pts+Asts,30.5
Desmond Bane,Pts+Asts,25.5
Jaren Jackson Jr.,Pts+Asts,18.5
Dillon Brooks,Pts+Asts,14.5
Xavier Tillman,Pts+Asts,11.5
De'Aaron Fox,Pts+Asts,27.5
Domantas Sabonis,Pts+Asts,23.5
Shaedon Sharpe,Pts+Asts,26.5
Harrison Barnes,Pts+Asts,14.5
Nassir Little,Pts+Asts,17.5
Drew Eubanks,Pts+Asts,12.5
Kevin Huerter,Pts+Asts,17.5
Keegan Murray,Pts+Asts,12.5
Stephen Curry,Pts+Asts,35.5
Klay Thompson,Pts+Asts,23.5
Draymond Green,Pts+Asts,16.5
Donte DiVincenzo,Pts+Asts,10.5
Jordan Poole,Pts+Asts,24.5
Devin Booker,Pts+Asts,33.5
Kevin Durant,Pts+Asts,26.5
Chris Paul,Pts+Asts,21.5
Deandre Ayton,Pts+Asts,15.5
Joel Embiid,Rebs+Asts,14.5
Pascal Siakam,Rebs+Asts,12.5
James Harden,Rebs+Asts,16.5
Fred VanVleet,Rebs+Asts,10.5
Scottie Barnes,Rebs+Asts,10.5
Paolo Banchero,Rebs+Asts,11.0
Talen Horton-Tucker,Rebs+Asts,9.5
Walker Kessler,Rebs+Asts,12.0
Kris Dunn,Rebs+Asts,9.0
Jalen Brunson,Rebs+Asts,9.5
Darius Garland,Rebs+Asts,10.5
RJ Barrett,Rebs+Asts,7.5
Evan Mobley,Rebs+Asts,12.5
Caris LeVert,Rebs+Asts,8.5
Royce O'Neale,Rebs+Asts,7.0
Trae Young,Rebs+Asts,12.5
LeBron James,Rebs+Asts,13.5
Anthony Davis,Rebs+Asts,14.0
Anthony Edwards,Rebs+Asts,9.5
Dejounte Murray,Rebs+Asts,10.5
Spencer Dinwiddie,Rebs+Asts,13.5
Clint Capela,Rebs+Asts,12.0
Nicolas Claxton,Rebs+Asts,12.0
Rudy Gobert,Rebs+Asts,13.5
Jaden Ivey,Rebs+Asts,9.5
Alperen Sengun,Rebs+Asts,13.5
Marvin Bagley III,Rebs+Asts,8.5
Jabari Smith Jr.,Rebs+Asts,9.5
James Wiseman,Rebs+Asts,8.5
Ja Morant,Rebs+Asts,13.5
Kawhi Leonard,Rebs+Asts,11.5
Desmond Bane,Rebs+Asts,8.5
Jaren Jackson Jr.,Rebs+Asts,7.5
Domantas Sabonis,Rebs+Asts,18.5
Drew Eubanks,Rebs+Asts,9.5
Stephen Curry,Rebs+Asts,12.5
Draymond Green,Rebs+Asts,14.5
Jordan Poole,Rebs+Asts,7.5
Devin Booker,Rebs+Asts,9.5
Kevin Durant,Rebs+Asts,10.5
Chris Paul,Rebs+Asts,13.0
Deandre Ayton,Rebs+Asts,9.5
DeMar DeRozan,Free Throws Made,5.0
Zach LaVine,Free Throws Made,4.5
Nikola Vucevic,Free Throws Made,1.5
Patrick Williams,Free Throws Made,0.5
Coby White,Free Throws Made,0.5
Pascal Siakam,Free Throws Made,4.5
Fred VanVleet,Free Throws Made,2.5
Jakob Poeltl,Free Throws Made,1.5
Scottie Barnes,Free Throws Made,2.5
Paolo Banchero,Free Throws Made,4.5
Markelle Fultz,Free Throws Made,1.5
Cole Anthony,Free Throws Made,2.5
Donovan Mitchell,Free Throws Made,4.5
Jalen Brunson,Free Throws Made,4.5
Darius Garland,Free Throws Made,3.0
RJ Barrett,Free Throws Made,4.5
Evan Mobley,Free Throws Made,3.0
Quentin Grimes,Free Throws Made,0.5
Caris LeVert,Free Throws Made,1.5
Ricky Rubio,Free Throws Made,0.5
Mitchell Robinson,Free Throws Made,0.5
Mikal Bridges,Free Throws Made,6.5
Trae Young,Free Throws Made,7.5
Spencer Dinwiddie,Free Throws Made,3.5
Dejounte Murray,Free Throws Made,2.5
John Collins,Free Throws Made,1.5
Cameron Johnson,Free Throws Made,2.5
Bogdan Bogdanovic,Free Throws Made,0.5
Royce O'Neale,Free Throws Made,0.5
LeBron James,Free Throws Made,5.0
Anthony Edwards,Free Throws Made,3.5
Anthony Davis,Free Throws Made,6.5
D'Angelo Russell,Free Throws Made,2.5
Mike Conley,Free Throws Made,1.5
Rudy Gobert,Free Throws Made,3.0
Jalen Green,Free Throws Made,4.5
Jaden Ivey,Free Throws Made,3.5
Jabari Smith Jr.,Free Throws Made,1.5
Killian Hayes,Free Throws Made,0.5
James Wiseman,Free Throws Made,1.5
Kevin Porter Jr.,Free Throws Made,3.5
Alperen Sengun,Free Throws Made,1.5
Ja Morant,Free Throws Made,6.5
Kawhi Leonard,Free Throws Made,5.5
Desmond Bane,Free Throws Made,2.0
Jaren Jackson Jr.,Free Throws Made,4.0
Dillon Brooks,Free Throws Made,0.5
Ivica Zubac,Free Throws Made,1.5
Santi Aldama,Free Throws Made,0.5
Xavier Tillman,Free Throws Made,0.5
De'Aaron Fox,Free Throws Made,4.0
Domantas Sabonis,Free Throws Made,3.5
Harrison Barnes,Free Throws Made,3.5
Kevin Huerter,Free Throws Made,0.5
Stephen Curry,Free Throws Made,4.5
Klay Thompson,Free Throws Made,0.5
Draymond Green,Free Throws Made,0.5
Jordan Poole,Free Throws Made,3.5
Devin Booker,Free Throws Made,6.0
Kevin Durant,Free Throws Made,5.0
Chris Paul,Free Throws Made,1.5
Deandre Ayton,Free Throws Made,2.5
Joel Embiid,Blks+Stls,2.5
James Harden,Blks+Stls,1.5
Scottie Barnes,Blks+Stls,1.5
Caris LeVert,Blks+Stls,1.5
Anthony Davis,Blks+Stls,2.5
Kevin Porter Jr.,Blks+Stls,1.5
Jabari Smith Jr.,Blks+Stls,1.5
Desmond Bane,Blks+Stls,1.5
Xavier Tillman,Blks+Stls,1.5
De'Aaron Fox,Blks+Stls,1.5
Harrison Barnes,Blks+Stls,0.5
Drew Eubanks,Blks+Stls,1.5
Kevin Durant,Blks+Stls,1.5
Anthony Edwards,Blocked Shots,0.5
Austin Reaves,Steals,0.5
Nassir Little,Steals,0.5
Jordan Poole,Steals,0.5
Chris Paul,Steals,1.5
Deandre Ayton,Steals,0.5
James Harden,Turnovers,3.5
OG Anunoby,Turnovers,1.5
Cole Anthony,Turnovers,1.5
Darius Garland,Turnovers,2.5
RJ Barrett,Turnovers,2.5
Lamar Stevens,Turnovers,0.5
Anthony Edwards,Turnovers,2.5
Austin Reaves,Turnovers,1.5
Rudy Gobert,Turnovers,1.5
James Wiseman,Turnovers,1.5
Jaren Jackson Jr.,Turnovers,1.5
Shaedon Sharpe,Turnovers,2.5
Nassir Little,Turnovers,1.5
Keegan Murray,Turnovers,0.5
Draymond Green,Turnovers,2.5
Jordan Poole,Turnovers,2.5
